Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min,TD targets/Mean,TD targets/Stdev,TD targets/Max,TD targets/Min,actions/Mean,actions/Stdev,actions/Max,actions/Min
1,0.0,0.0,1.0,14.0,14.0,7.0,7.0,0.5,,,0.0,0.027681350708007812,,,,,,,,,,,,,,,,,,,,,3.731857416594058,1.8588735731327664,6.515714984609485,0.9382883583101026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,1.0,28.0,28.0,7.0,14.0,0.5,,,0.0,1.3682270050048828,,,,,,,,,,,,,,,,,,,,,3.841147673478802,1.9171898768139428,6.713679649549165,0.9625210113643975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,1.0,38.0,38.0,5.0,19.0,0.5,,,0.0,2.484839916229248,,,,,,,,,,,,,,,,,,,,,2.9354515615746912,1.3824104829554116,4.889787939319304,0.97968540595025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,1.0,46.0,46.0,4.0,23.0,0.5,,,0.0,3.5409023761749268,,,,,,,,,,,,,,,,,,,,,2.3187150768766744,1.034746949992093,3.706047202387153,0.9294899651365777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,1.0,54.0,54.0,4.0,27.0,0.5,,,0.0,4.681498050689697,,,,,,,,,,,,,,,,,,,,,2.0854416321538074,0.930615660575709,3.3331566123332426,0.836017467891683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,1.0,66.0,66.0,6.0,33.0,0.5,,,0.0,5.9460954666137695,,,,,,,,,,,,,,,,,,,,,2.939890073001367,1.4304572348161597,5.031811638740183,0.8435357686367091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,1.0,78.0,78.0,6.0,39.0,0.5,,,0.0,7.159172296524048,,,,,,,,,,,,,,,,,,,,,2.9462522364991695,1.4376746632143256,5.050665631553318,0.841637234594199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,1.0,92.0,92.0,7.0,46.0,0.5,,,0.0,8.466336250305176,,,,,,,,,,,,,,,,,,,,,3.889612226688755,1.9369668436223122,6.790612254045149,0.9787045697442698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,1.0,108.0,108.0,8.0,54.0,0.5,,,0.0,9.919957160949707,,,,,,,,,,,,,,,,,,,,,3.6902748704720825,1.8726662768317128,6.545785902950362,0.8240217899191596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,1.0,124.0,124.0,8.0,62.0,0.5,,,0.0,11.344381093978882,,,,,,,,,,,,,,,,,,,,,4.0578064528666165,2.0644819599186195,7.209674713831303,0.9028877958437198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,1.0,142.0,142.0,9.0,71.0,0.5,,,0.0,12.736217975616455,,,,,,,,,,,,,,,,,,,,,4.683544332550378,2.4088456175830673,8.407041517466505,0.9425151591455274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,1.0,152.0,152.0,5.0,76.0,0.5,,,0.0,13.902060747146606,,,,,,,,,,,,,,,,,,,,,2.484520098859158,1.1685694690585842,4.135499534751693,0.8302830681584645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,1.0,162.0,162.0,5.0,81.0,0.5,,,0.0,15.099303245544434,,,,,,,,,,,,,,,,,,,,,2.6593848942257887,1.2518525474088522,4.42858268119201,0.8878551584969899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,1.0,202.0,202.0,20.0,101.0,0.5,,,0.0,17.10124158859253,,,,,,,,,,,,,,,,,,,,,9.134810224602523,5.045124388251281,17.447805333518133,0.8552317137148427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,1.0,228.0,228.0,13.0,114.0,0.5,,,0.0,19.283287286758423,,,,,,,,,,,,,,,,,,,,,5.804099901749311,3.0883189558977393,10.742579858443428,0.8348236670575366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
